SITE_ID	INSTITUTE	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS	HIS	GEOM
03-046	NW-FVA	Koenigsbuche	\N	LPI	1996	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-046	NW-FVA	Koenigsbuche	\N	LPI	2006	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-046	NW-FVA	Koenigsbuche	\N	LPI	2021	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-047	NW-FVA	Oderhang	\N	LPI	1972	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-047	NW-FVA	Oderhang	\N	LPI	1982	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-047	NW-FVA	Oderhang	\N	LPI	2006	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-047	NW-FVA	Oderhang	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-049	NW-FVA	Haringer Berg	\N	LPI	1973	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-049	NW-FVA	Haringer Berg	\N	LPI	1997	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-049	NW-FVA	Haringer Berg	\N	LPI	2012	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-049	NW-FVA	Haringer Berg	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-053	NW-FVA	Friedeholz	\N	LPI	1975	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-053	NW-FVA	Friedeholz	\N	LPI	1997	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-053	NW-FVA	Friedeholz	\N	LPI	2011	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-053	NW-FVA	Friedeholz	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-055	NW-FVA	Rieseberg	\N	LPI	1975	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1969	\N	Y	\N
03-055	NW-FVA	Rieseberg	\N	LPI	1995	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1969	\N	Y	\N
03-055	NW-FVA	Rieseberg	\N	LPI	2008	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1969	\N	Y	\N
03-055	NW-FVA	Rieseberg	\N	LPI	2021	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1969	\N	Y	\N
03-060	NW-FVA	Meinsberg	\N	LPI	1974	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-060	NW-FVA	Meinsberg	\N	LPI	1991	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-060	NW-FVA	Meinsberg	\N	LPI	2002	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-060	NW-FVA	Meinsberg	\N	LPI	2019	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
06-001	NW-FVA	Niestehaenge	\N	SPI	1988	12	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-001	NW-FVA	Niestehaenge	\N	SPI	1988	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-001	NW-FVA	Niestehaenge	\N	SPI	2019	12	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-001	NW-FVA	Niestehaenge	\N	SPI	2019	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-002	NW-FVA	Goldbachs- und Ziebachsrueck	\N	SPI	1988	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-002	NW-FVA	Goldbachs- und Ziebachsrueck	\N	SPI	1988	24	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-002	NW-FVA	Goldbachs- und Ziebachsrueck	\N	SPI	2009	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-002	NW-FVA	Goldbachs- und Ziebachsrueck	\N	SPI	2009	24	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-003	NW-FVA	Schoenbuche	\N	SPI	1988	1	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-003	NW-FVA	Schoenbuche	\N	SPI	1988	27	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-003	NW-FVA	Schoenbuche	\N	SPI	2010	28	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-004	NW-FVA	Wattenberg und Hundsberg	\N	SPI	1988	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-004	NW-FVA	Wattenberg und Hundsberg	\N	SPI	1988	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-004	NW-FVA	Wattenberg und Hundsberg	\N	SPI	2017	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-004	NW-FVA	Wattenberg und Hundsberg	\N	SPI	2017	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-005	NW-FVA	Meissner	\N	SPI	1988	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-005	NW-FVA	Meissner	\N	SPI	1988	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-005	NW-FVA	Meissner	\N	SPI	2010	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-005	NW-FVA	Meissner	\N	SPI	2010	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-006	NW-FVA	Niddahaenge	\N	SPI	1988	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-006	NW-FVA	Niddahaenge	\N	SPI	2020	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-007	NW-FVA	Ruine Reichenbach	\N	SPI	1988	2	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-007	NW-FVA	Ruine Reichenbach	\N	SPI	1988	27	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-007	NW-FVA	Ruine Reichenbach	\N	SPI	2011	2	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-007	NW-FVA	Ruine Reichenbach	\N	SPI	2011	26	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-008	NW-FVA	Hohestein	\N	SPI	1988	8	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-008	NW-FVA	Hohestein	\N	SPI	1988	16	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-008	NW-FVA	Hohestein	\N	SPI	2007	8	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-008	NW-FVA	Hohestein	\N	SPI	2007	16	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1984	/N	Y	\N
06-009	NW-FVA	Hasenblick	\N	SPI	1988	47	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-009	NW-FVA	Hasenblick	\N	SPI	2012	47	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
06-010	NW-FVA	Waldgebiet oestlich Oppershofen	\N	SPI	1988	19	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	1983	/N	Y	\N
